X,Y,Label
2043,-917,I6
1037,-92,I6
-143,1196,I6
510,941,I6
1787,-387,I6
1760,-591,I6
483,543,I6
-18,1346,I6
1055,405,I6
1964,-847,I6
1271,-258,I6
0,1036,I6
451,1195,I6
1736,-166,I6
2017,-832,I6
688,204,I6
-201,1356,I6
729,756,I6
1979,-593,I6
1613,-343,I6
309,949,I6
285,1444,I6
1464,171,I6
2069,-877,I6
1048,-50,I6
-133,1259,I6
535,1000,I6
1783,-336,I6
1774,-535,I6
500,600,I6
-8,1388,I6
1058,433,I6
1968,-846,I6
1297,-247,I6
23,1061,I6
429,1212,I6
1724,-152,I6
2041,-820,I6
703,205,I6
-188,1360,I6
740,766,I6
1975,-564,I6
1613,-297,I6
292,983,I6
258,1462,I6
1479,178,I6
2057,-864,I6
1045,-65,I6
-148,1238,I6
479,991,I6
1773,-369,I6
1747,-557,I6
433,612,I6
-59,1398,I6
1056,425,I6
1967,-855,I6
1271,-237,I6
-15,1104,I6
392,1263,I6
1710,-110,I6
1993,-767,I6
695,237,I6
-179,1353,I6
723,751,I6
1936,-570,I6
1586,-278,I6
281,982,I6
279,1446,I6
1494,178,I6
2079,-865,I6
1069,-39,I6
-124,1269,I6
535,1021,I6
1819,-309,I6
1794,-488,I6
504,618,I6
42,1407,I6
1104,484,I6
2022,-765,I6
1370,-162,I6
112,1146,I6
519,1305,I6
1796,56,I6
2094,-500,I6
810,565,I6
-77,1731,I6
833,1169,I6
2070,-50,I6
1731,281,I6
399,1586,I6
355,2063,I6
1566,881,I6
2179,-144,I6
1175,641,I6
-26,1899,I6
646,1680,I6
1891,420,I6
1865,189,I6
558,1284,I6
81,2041,I6
1146,1171,I6
2046,-46,I6
1367,506,I6
91,1765,I6
521,1916,I6
1813,612,I6
2121,-41,I6
788,974,I6
-80,2065,I6
860,1477,I6
2107,156,I6
1719,396,I6
362,1655,I6
380,2099,I6
1591,855,I6
2152,-143,I6
1122,649,I6
-49,1884,I6
632,1633,I6
1884,355,I6
1813,195,I6
486,1312,I6
76,2024,I6
1161,1082,I6
2033,-128,I6
1310,417,I6
28,1659,I6
478,1783,I6
1762,441,I6
2031,-231,I6
735,703,I6
-88,1746,I6
859,1098,I6
2034,-280,I6
1654,-105,I6
345,1095,I6
333,1536,I6
1532,239,I6
2081,-821,I6
1059,-80,I6
-117,1178,I6
538,882,I6
1761,-472,I6
1711,-636,I6
410,512,I6
-26,1287,I6
1062,314,I6
1946,-918,I6
1253,-303,I6
-25,1030,I6
415,1186,I6
1710,-139,I6
1985,-738,I6
691,286,I6
-171,1417,I6
721,815,I6
1946,-497,I6
1602,-243,I6
289,1013,I6
239,1476,I6
1422,230,I6
2011,-794,I6
997,19,I6
-199,1347,I6
487,1079,I6
1766,-279,I6
1732,-456,I6
394,699,I6
-89,1482,I6
1062,507,I6
1981,-796,I6
1276,-173,I6
-29,1178,I6
395,1310,I6
1698,-44,I6
1996,-671,I6
665,370,I6
-192,1489,I6
767,850,I6
1966,-497,I6
1554,-202,I6
232,1077,I6
262,1512,I6
1487,218,I6
2041,-807,I6
1015,30,I6
-179,1336,I6
505,1042,I6
1767,-291,I6
1700,-409,I6
409,758,I6
-45,1504,I6
1070,498,I6
1960,-768,I6
1240,-130,I6
-60,1188,I6
401,1303,I6
1696,-47,I6
1963,-658,I6
637,380,I6
-188,1466,I6
764,838,I6
1939,-439,I6
1555,-133,I6
245,1114,I6
257,1544,I6
1492,318,I6
2053,-554,I6
1019,348,I6
-131,1604,I6
524,1375,I6
1768,152,I6
1717,90,I6
395,1316,I6
-37,2080,I6
1105,1147,I6
1977,-61,I6
1234,504,I6
-41,1777,I6
441,1923,I6
1749,595,I6
2033,-21,I6
689,985,I6
-123,2014,I6
854,1396,I6
2026,120,I6
1614,411,I6
292,1668,I6
308,2076,I6
1517,830,I6
2083,-124,I6
1023,707,I6
-142,1946,I6
538,1666,I6
1788,397,I6
1690,273,I6
391,1396,I6
9,2090,I6
1146,1125,I6
1997,-83,I6
1237,486,I6
-46,1740,I6
445,1838,I6
1767,536,I6
2003,-49,I6
678,982,I6
-131,2004,I6
868,1355,I6
2027,86,I6
1538,453,I6
203,1752,I6
322,2135,I6
1606,837,I6
2122,-97,I6
1001,793,I6
-132,2065,I6
625,1738,I6
1894,444,I6
1738,368,I6
439,1492,I6
123,2135,I6
1221,1157,I6
2005,-8,I6
1204,607,I6
-41,1851,I6
489,1839,I6
1783,517,I6
1960,7,I6
610,1091,I6
-116,2055,I6
908,1340,I6
2035,31,I6
1496,405,I6
137,1711,I6
309,2048,I6
1595,725,I6
2066,-130,I6
896,769,I6
-150,1995,I6
656,1603,I6
1911,314,I6
1704,319,I6
420,1491,I6
188,2088,I6
1324,1056,I6
2063,-94,I6
1213,568,I6
-28,1811,I6
548,1721,I6
1824,422,I6
1956,-17,I6
653,1038,I6
-38,1955,I6
969,1210,I6
2028,-64,I6
1471,378,I6
139,1645,I6
370,1955,I6
1623,656,I6
2053,-164,I6
849,750,I6
-188,1977,I6
643,1563,I6
1909,287,I6
1678,331,I6
367,1503,I6
181,2078,I6
1312,1027,I6
2035,-121,I6
1183,528,I6
-36,1753,I6
516,1680,I6
1758,412,I6
1874,-2,I6
563,1056,I6
-70,1957,I6
940,1192,I6
1990,-69,I6
1423,415,I6
70,1730,I6
320,2034,I6
1646,674,I6
2088,-146,I6
855,802,I6
